head_word	match	diphthong?	V1	V2	preV1	postV2
i-zói-de	ói	yes	ó	i	z	d	
bó-bai-ji	ai	yes	a	i	b	j	
rá-o-raɨ-ma	á-o	no	á	o	r	r	
rá-o-raɨ-ma	aɨ	yes	a	ɨ	r	m	
jɨ-áɨ-zi-e	ɨ-á	no	ɨ	á	j	ɨ	
jɨ-áɨ-zi-e	áɨ	yes	á	ɨ	ɨ	z	
jɨ-áɨ-zi-e	i-e	no	i	e	z	#	
du-é-ti-ru	u-é	no	u	é	d	t	
jó-foi	oi	yes	o	i	f	#	
i-ó-cɨ-mɨ-e	i-ó	no	i	ó	#	c	
i-ó-cɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
é-ti-aɨ	i-a	no	i	a	t	ɨ	
é-ti-aɨ	aɨ	yes	a	ɨ	i	#	
e-ché-rai-de	ai	yes	a	i	r	d	
tó-coɨ-de	oɨ	yes	o	ɨ	c	d	
lli-ái-cɨ	i-á	no	i	á	l	i	
lli-ái-cɨ	ái	yes	á	i	i	c	
ze-fuí-rui-te	uí	yes	u	í	f	r	
ze-fuí-rui-te	ui	yes	u	i	r	t	
náa-ma-re-de	áa	yes	á	a	n	m	
áɨ-re-de	áɨ	yes	á	ɨ	#	r	
e-muí-re	uí	yes	u	í	m	r	
jo-zí-ri-oi-de	i-o	no	i	o	r	i	
jo-zí-ri-oi-de	oi	yes	o	i	i	d	
cí̵-i-ro-te	í̵-i	no	í̵	i	c	r	
fɨ-nó-raɨ-i-de	aɨ	yes	a	ɨ	r	i	
fɨ-nó-raɨ-i-de	ɨ-i	no	ɨ	i	a	d	
je-ráɨ-llai-doɨ	áɨ	yes	á	ɨ	r	l	
je-ráɨ-llai-doɨ	ai	yes	a	i	l	d	
je-ráɨ-llai-doɨ	oɨ	yes	o	ɨ	d	#	
júi-a-be	úi	yes	ú	i	j	a	
júi-a-be	i-a	no	i	a	ú	b	
chi-jáɨ-nai-de	áɨ	yes	á	ɨ	j	n	
chi-jáɨ-nai-de	ai	yes	a	i	n	d	
ru-í-ca-de	u-í	no	u	í	r	c	
bó-fu-e-zi-de	u-e	no	u	e	f	z	
ɨ-fó-tɨ-i	ɨ-i	no	ɨ	i	t	#	
ná-no-ru-i	u-i	no	u	i	r	#	
tɨ-bé-ro-tai-de	ai	yes	a	i	t	d	
ráɨ-i-de	áɨ	yes	á	ɨ	r	i	
ráɨ-i-de	ɨ-i	no	ɨ	i	á	d	
fe-rái-zɨ	ái	yes	á	i	r	z	
ré-ɨ-cɨ	é-ɨ	no	é	ɨ	r	c	
goi-zé-ño	oi	yes	o	i	g	z	
é-nɨ-e	ɨ-e	no	ɨ	e	n	#	
ɨ-í-ti-ru-aɨ	ɨ-í	no	ɨ	í	#	t	
ɨ-í-ti-ru-aɨ	u-a	no	u	a	r	ɨ	
ɨ-í-ti-ru-aɨ	aɨ	yes	a	ɨ	u	#	
ji-zí̵-rai	ai	yes	a	i	r	#	
í̵-e-do-te	í̵-e	no	í̵	e	#	d	
jɨ-có-ti-goɨ	oɨ	yes	o	ɨ	g	#	
du-í-de	u-í	no	u	í	d	d	
e-ái-de	e-á	no	e	á	#	i	
e-ái-de	ái	yes	á	i	e	d	
jíi-bi-gɨ	íi	yes	í	i	j	b	
cui-ná-de	ui	yes	u	i	c	n	
ñé-coɨ-de	oɨ	yes	o	ɨ	c	d	
jíi-de	íi	yes	í	i	j	d	
ái-ai-zɨ	ái	yes	á	i	#	a	
ái-ai-zɨ	i-a	no	i	a	á	i	
ái-ai-zɨ	ai	yes	a	i	i	z	
je-buí-de	uí	yes	u	í	b	d	
méi-ñu-ai-de	éi	yes	é	i	m	ñ	
méi-ñu-ai-de	u-a	no	u	a	ñ	i	
méi-ñu-ai-de	ai	yes	a	i	u	d	
bóo-a	óo	yes	ó	o	b	a	
bóo-a	o-a	no	o	a	ó	#	
ɨ-bái-ra-co	ái	yes	á	i	b	r	
ɨ-ó-ma	ɨ-ó	no	ɨ	ó	#	m	
ɨ-ní-cui-ro	ui	yes	u	i	c	r	
záɨ-te	áɨ	yes	á	ɨ	z	t	
faɨ-tái-na-no	aɨ	yes	a	ɨ	f	t	
faɨ-tái-na-no	ái	yes	á	i	t	n	
cɨ-ó-ñe-na	ɨ-ó	no	ɨ	ó	c	ñ	
já-mai-cui-ño	ai	yes	a	i	m	c	
já-mai-cui-ño	ui	yes	u	i	c	ñ	
ja-lléi-dɨ-mɨ-e	éi	yes	é	i	l	d	
ja-lléi-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
ji-é-ri-fi-de	i-é	no	i	é	j	r	
jɨ-áɨ-no-do-cai-de	ɨ-á	no	ɨ	á	j	ɨ	
jɨ-áɨ-no-do-cai-de	áɨ	yes	á	ɨ	ɨ	n	
jɨ-áɨ-no-do-cai-de	ai	yes	a	i	c	d	
áɨ-no-ri	áɨ	yes	á	ɨ	#	n	
túi-ra	úi	yes	ú	i	t	r	
u-í-ñu-ai-de	u-í	no	u	í	#	ñ	
u-í-ñu-ai-de	u-a	no	u	a	ñ	i	
u-í-ñu-ai-de	ai	yes	a	i	u	d	
mo-í-ca-gaɨ	o-í	no	o	í	m	c	
mo-í-ca-gaɨ	aɨ	yes	a	ɨ	g	#	
jí-ɨ-gɨ	í-ɨ	no	í	ɨ	j	g	
dí̵ɨ-o	í̵ɨ	yes	í̵	ɨ	d	o	
dí̵ɨ-o	ɨ-o	no	ɨ	o	í̵	#	
có-mue	ue	yes	u	e	m	#	
e-ré-ri-zai-de	ai	yes	a	i	z	d	
llo-nái-e	ái	yes	á	i	n	e	
llo-nái-e	i-e	no	i	e	á	#	
bé-nɨ-e	ɨ-e	no	ɨ	e	n	#	
rɨ-ngó-bɨ-roɨ	oɨ	yes	o	ɨ	r	#	
ói-ma	ói	yes	ó	i	#	m	
na-í-oi-de	a-í	no	a	í	n	o	
na-í-oi-de	í-o	no	í	o	a	i	
na-í-oi-de	oi	yes	o	i	í	d	
jí-zɨ-da-gɨ-roɨ	oɨ	yes	o	ɨ	r	#	
ráa-ri-zaɨ-bi-te	áa	yes	á	a	r	r	
ráa-ri-zaɨ-bi-te	aɨ	yes	a	ɨ	z	b	
cai-tá-ni-de	ai	yes	a	i	c	t	
jó-bai-ro	ai	yes	a	i	b	r	
cui-dó-de	ui	yes	u	i	c	d	
cóɨ-ngo	óɨ	yes	ó	ɨ	c	n	
ráa-re-dɨ-mɨ-e	áa	yes	á	a	r	r	
ráa-re-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
jo-fó-cai-fe	ai	yes	a	i	c	f	
ja-ná-u-ai	á-u	no	á	u	n	a	
ja-ná-u-ai	u-a	no	u	a	á	i	
ja-ná-u-ai	ai	yes	a	i	u	#	
bái-te	ái	yes	á	i	b	t	
jé-du-gɨ-ri-e	i-e	no	i	e	r	#	
jo-gó-llo-ai	o-a	no	o	a	l	i	
jo-gó-llo-ai	ai	yes	a	i	o	#	
cɨ-í-fo	ɨ-í	no	ɨ	í	c	f	
já-ei-ca-na	á-e	no	á	e	j	i	
já-ei-ca-na	ei	yes	e	i	á	c	
zui-ñó-de	ui	yes	u	i	z	ñ	
múi-do	úi	yes	ú	i	m	d	
naɨ-rí-de	aɨ	yes	a	ɨ	n	r	
i-ó-nai-te	i-ó	no	i	ó	#	n	
i-ó-nai-te	ai	yes	a	i	n	t	
cáɨ-ngaɨ-e	áɨ	yes	á	ɨ	c	n	
cáɨ-ngaɨ-e	aɨ	yes	a	ɨ	g	e	
cáɨ-ngaɨ-e	ɨ-e	no	ɨ	e	a	#	
jɨ-áɨ-ru-i-do	ɨ-á	no	ɨ	á	j	ɨ	
jɨ-áɨ-ru-i-do	áɨ	yes	á	ɨ	ɨ	r	
jɨ-áɨ-ru-i-do	u-i	no	u	i	r	d	
já-i-cɨ-gaɨ	á-i	no	á	i	j	c	
já-i-cɨ-gaɨ	aɨ	yes	a	ɨ	g	#	
fui-rí-de	ui	yes	u	i	f	r	
i-cuí-foɨ	uí	yes	u	í	c	f	
i-cuí-foɨ	oɨ	yes	o	ɨ	f	#	
zi-ái-jɨ	i-á	no	i	á	z	i	
zi-ái-jɨ	ái	yes	á	i	i	j	
ɨ-ráɨ-zi-e	áɨ	yes	á	ɨ	r	z	
ɨ-ráɨ-zi-e	i-e	no	i	e	z	#	
do-hó-bɨ-raɨ	aɨ	yes	a	ɨ	r	#	
e-í-rɨ-ngo	e-í	no	e	í	#	r	
fáɨ-ri-te	áɨ	yes	á	ɨ	f	r	
múi-te	úi	yes	ú	i	m	t	
gái-ri-co-ngo	ái	yes	á	i	g	r	
jaɨ-có-nɨ-tai-oi-cai-de	aɨ	yes	a	ɨ	j	c	
jaɨ-có-nɨ-tai-oi-cai-de	ai	yes	a	i	t	o	
jaɨ-có-nɨ-tai-oi-cai-de	i-o	no	i	o	a	i	
jaɨ-có-nɨ-tai-oi-cai-de	oi	yes	o	i	i	c	
jaɨ-có-nɨ-tai-oi-cai-de	ai	yes	a	i	c	d	
o-cái-na	ái	yes	á	i	c	n	
ji-áɨ-re-de	i-á	no	i	á	j	ɨ	
ji-áɨ-re-de	áɨ	yes	á	ɨ	i	r	
cai-ñí̵-chi-ru	ai	yes	a	i	c	ñ	
cɨ-mó-goɨ	oɨ	yes	o	ɨ	g	#	
fi-é-de	i-é	no	i	é	f	d	
jái-bɨ-de	ái	yes	á	i	j	b	
ro-bái-de	ái	yes	á	i	b	d	
méi-ni-ai-de	éi	yes	é	i	m	n	
méi-ni-ai-de	i-a	no	i	a	n	i	
méi-ni-ai-de	ai	yes	a	i	i	d	
ía-no-ri	ía	yes	í	a	#	n	
í̵ɨ-no-te	í̵ɨ	yes	í̵	ɨ	#	n	
cáa-dɨ-nui-aɨ	áa	yes	á	a	c	d	
cáa-dɨ-nui-aɨ	ui	yes	u	i	n	a	
cáa-dɨ-nui-aɨ	i-a	no	i	a	u	ɨ	
cáa-dɨ-nui-aɨ	aɨ	yes	a	ɨ	i	#	
mu-bá-caɨ	aɨ	yes	a	ɨ	c	#	
zó-fe-no-cai-de	ai	yes	a	i	c	d	
cue-bí̵-cɨ	ue	yes	u	e	c	b	
ráɨ-re	áɨ	yes	á	ɨ	r	r	
ráa-tai-te	áa	yes	á	a	r	t	
ráa-tai-te	ai	yes	a	i	t	t	
dɨ-é	ɨ-é	no	ɨ	é	d	#	
jɨ-lláɨ-zɨ-te	áɨ	yes	á	ɨ	l	z	
có-mo-fue	ue	yes	u	e	f	#	
ma-nó-ri-raɨ-ma	aɨ	yes	a	ɨ	r	m	
jo-ró-dɨ-nu-e	u-e	no	u	e	n	#	
o-có-zi-nai-de	ai	yes	a	i	n	d	
fai-llá-ngo	ai	yes	a	i	f	l	
fúe-co	úe	yes	ú	e	f	c	
naɨ-gó-de	aɨ	yes	a	ɨ	n	g	
jó-bai	ai	yes	a	i	b	#	
u-á	u-á	no	u	á	#	#	
rá-bai	ai	yes	a	i	b	#	
u-áɨ-ri-tai-de	u-á	no	u	á	#	ɨ	
u-áɨ-ri-tai-de	áɨ	yes	á	ɨ	u	r	
u-áɨ-ri-tai-de	ai	yes	a	i	t	d	
cu-ái-coɨ-te	u-á	no	u	á	c	i	
cu-ái-coɨ-te	ái	yes	á	i	u	c	
cu-ái-coɨ-te	oɨ	yes	o	ɨ	c	t	
jí̵-rɨ-co-i	o-i	no	o	i	c	#	
u-áɨ-ri-co	u-á	no	u	á	#	ɨ	
u-áɨ-ri-co	áɨ	yes	á	ɨ	u	r	
mée-de	ée	yes	é	e	m	d	
já-mi-a	i-a	no	i	a	m	#	
e-fí̵-caɨ	aɨ	yes	a	ɨ	c	#	
i-bí-gaɨ	aɨ	yes	a	ɨ	g	#	
dɨ-é-re-de	ɨ-é	no	ɨ	é	d	r	
í-raɨ-no-mo	aɨ	yes	a	ɨ	r	n	
ne-muí-llɨ	uí	yes	u	í	m	l	
du-bá-ra-lloi-cɨ	oi	yes	o	i	l	c	
já-i-cɨ-do	á-i	no	á	i	j	c	
né-cui-de	ui	yes	u	i	c	d	
u-ái-de	u-á	no	u	á	#	i	
u-ái-de	ái	yes	á	i	u	d	
rɨ-á-ma	ɨ-á	no	ɨ	á	r	m	
bó-re-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
já-bɨ-cai-de	ai	yes	a	i	c	d	
chúu-fue	úu	yes	ú	u	h	f	
chúu-fue	ue	yes	u	e	f	#	
jua-tí-ni-gɨ-na	ua	yes	u	a	j	t	
re-fé-oi-cai-de	é-o	no	é	o	f	i	
re-fé-oi-cai-de	oi	yes	o	i	é	c	
re-fé-oi-cai-de	ai	yes	a	i	c	d	
chí-a-fai-co-ngo	í-a	no	í	a	h	f	
chí-a-fai-co-ngo	ai	yes	a	i	f	c	
tóɨ	óɨ	yes	ó	ɨ	t	#	
cai-fó-fe-be	ai	yes	a	i	c	f	
rú-da-jai-de	ai	yes	a	i	j	d	
má-i-ca-jɨ	á-i	no	á	i	m	c	
re-cuí-de	uí	yes	u	í	c	d	
i-gó-raɨ	aɨ	yes	a	ɨ	r	#	
jɨ-ré-noi-ta-de	oi	yes	o	i	n	t	
e-muí-ro-gɨ	uí	yes	u	í	m	r	
rúu-ri-de	úu	yes	ú	u	r	r	
bí-na-i	a-i	no	a	i	n	#	
nɨ-mái-ra-ma	ái	yes	á	i	m	r	
rí̵ɨ-rɨ-ga	í̵ɨ	yes	í̵	ɨ	r	r	
ui-zó-cu-aɨ	ui	yes	u	i	#	z	
ui-zó-cu-aɨ	u-a	no	u	a	c	ɨ	
ui-zó-cu-aɨ	aɨ	yes	a	ɨ	u	#	
gúa-zai-de	úa	yes	ú	a	g	z	
gúa-zai-de	ai	yes	a	i	z	d	
e-rói-zai-de	ói	yes	ó	i	r	z	
e-rói-zai-de	ai	yes	a	i	z	d	
cɨ-ráɨ-be	áɨ	yes	á	ɨ	r	b	
na-í	a-í	no	a	í	n	#	
zái-te	ái	yes	á	i	z	t	
féɨ	éɨ	yes	é	ɨ	f	#	
tí̵-zi-tai-tɨ-mɨ-e	ai	yes	a	i	t	t	
tí̵-zi-tai-tɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
tóɨ-de	óɨ	yes	ó	ɨ	t	d	
fá-i-cɨ-gɨ-roɨ	á-i	no	á	i	f	c	
fá-i-cɨ-gɨ-roɨ	oɨ	yes	o	ɨ	r	#	
mé-i-doɨ	é-i	no	é	i	m	d	
mé-i-doɨ	oɨ	yes	o	ɨ	d	#	
gúa-maɨ	úa	yes	ú	a	g	m	
gúa-maɨ	aɨ	yes	a	ɨ	m	#	
ji-áɨ-lli-raɨ	i-á	no	i	á	j	ɨ	
ji-áɨ-lli-raɨ	áɨ	yes	á	ɨ	i	l	
ji-áɨ-lli-raɨ	aɨ	yes	a	ɨ	r	#	
ñái-ji-de	ái	yes	á	i	ñ	j	
cáɨ-du-e	áɨ	yes	á	ɨ	c	d	
cáɨ-du-e	u-e	no	u	e	d	#	
ñá-ni-fe-o	e-o	no	e	o	f	#	
jóo-ni-ai-de	óo	yes	ó	o	j	n	
jóo-ni-ai-de	i-a	no	i	a	n	i	
jóo-ni-ai-de	ai	yes	a	i	i	d	
ré-ɨ-ze-ra	é-ɨ	no	é	ɨ	r	z	
co-gái-de	ái	yes	á	i	g	d	
jí-fai-cai-de	ai	yes	a	i	f	c	
jí-fai-cai-de	ai	yes	a	i	c	d	
jái-ai-ma-cɨ	ái	yes	á	i	j	a	
jái-ai-ma-cɨ	i-a	no	i	a	á	i	
jái-ai-ma-cɨ	ai	yes	a	i	i	m	
dɨ-ó-na	ɨ-ó	no	ɨ	ó	d	n	
llái-re	ái	yes	á	i	l	r	
mó-caɨ-co-ngo	aɨ	yes	a	ɨ	c	c	
llái-ro	ái	yes	á	i	l	r	
fu-é-co	u-é	no	u	é	f	c	
óo-go-llɨ	óo	yes	ó	o	#	g	
jaɨ-táɨ-do	aɨ	yes	a	ɨ	j	t	
jaɨ-táɨ-do	áɨ	yes	á	ɨ	t	d	
fáɨ-te	áɨ	yes	á	ɨ	f	t	
jái-naɨ-lloi-cɨ	ái	yes	á	i	j	n	
jái-naɨ-lloi-cɨ	aɨ	yes	a	ɨ	n	l	
jái-naɨ-lloi-cɨ	oi	yes	o	i	l	c	
tɨ-fí-nai-tɨ-mɨ-e	ai	yes	a	i	n	t	
tɨ-fí-nai-tɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
ñúi-te	úi	yes	ú	i	ñ	t	
tɨ-í-zɨ	ɨ-í	no	ɨ	í	t	z	
fáɨ-ga-cai-de	áɨ	yes	á	ɨ	f	g	
fáɨ-ga-cai-de	ai	yes	a	i	c	d	
dú-gɨ-aɨ-de	ɨ-a	no	ɨ	a	g	ɨ	
dú-gɨ-aɨ-de	aɨ	yes	a	ɨ	ɨ	d	
é-raɨ	aɨ	yes	a	ɨ	r	#	
jí̵-a-gɨ	í̵-a	no	í̵	a	j	g	
ní̵-e	í̵-e	no	í̵	e	n	#	
dai-gá-cɨ	ai	yes	a	i	d	g	
júai-ño-te	úa	yes	ú	a	j	i	
júai-ño-te	ai	yes	a	i	ú	ñ	
llá-güi-tɨ-a-bai	ɨ-a	no	ɨ	a	t	b	
llá-güi-tɨ-a-bai	ai	yes	a	i	b	#	
co-é-ro	o-é	no	o	é	c	r	
íi-raɨ-cai-ño	íi	yes	í	i	#	r	
íi-raɨ-cai-ño	aɨ	yes	a	ɨ	r	c	
íi-raɨ-cai-ño	ai	yes	a	i	c	ñ	
móo-nai-fɨ-re-de	óo	yes	ó	o	m	n	
móo-nai-fɨ-re-de	ai	yes	a	i	n	f	
rui-cái-de	ui	yes	u	i	r	c	
rui-cái-de	ái	yes	á	i	c	d	
zai-vá-de	ai	yes	a	i	z	v	
i-cí̵-lloɨ	oɨ	yes	o	ɨ	l	#	
na-í-de	a-í	no	a	í	n	d	
í-tai-coɨ	ai	yes	a	i	t	c	
í-tai-coɨ	oɨ	yes	o	ɨ	c	#	
dá-i-de	á-i	no	á	i	d	d	
ji-táɨ-bɨ-roɨ	áɨ	yes	á	ɨ	t	b	
ji-táɨ-bɨ-roɨ	oɨ	yes	o	ɨ	r	#	
zí̵-i-llɨ-jɨ-roɨ	í̵-i	no	í̵	i	z	l	
zí̵-i-llɨ-jɨ-roɨ	oɨ	yes	o	ɨ	r	#	
du-cí̵-ra-lloi-cɨ	oi	yes	o	i	l	c	
u-á-fo-ri	u-á	no	u	á	#	f	
cúe-te	úe	yes	ú	e	c	t	
llée-ro-jɨ	ée	yes	é	e	l	r	
í̵-i-da	í̵-i	no	í̵	i	#	d	
é-coi-de	oi	yes	o	i	c	d	
í̵-coɨ-ni-a	oɨ	yes	o	ɨ	c	n	
í̵-coɨ-ni-a	i-a	no	i	a	n	#	
i-llú-i-re-de	ú-i	no	ú	i	l	r	
ju-fáɨ-no-te	áɨ	yes	á	ɨ	f	n	
í̵-moi-raɨ	oi	yes	o	i	m	r	
í̵-moi-raɨ	aɨ	yes	a	ɨ	r	#	
lle-gái-de	ái	yes	á	i	g	d	
daɨ-í-ta	aɨ	yes	a	ɨ	d	í	
daɨ-í-ta	ɨ-í	no	ɨ	í	a	t	
tá-i-cɨ	á-i	no	á	i	t	c	
ñe-cí̵-rae	ae	yes	a	e	r	#	
í̵-ai-de	í̵-a	no	í̵	a	#	i	
í̵-ai-de	ai	yes	a	i	í̵	d	
llú-aɨ-ru-a	ú-a	no	ú	a	l	ɨ	
llú-aɨ-ru-a	aɨ	yes	a	ɨ	ú	r	
llú-aɨ-ru-a	u-a	no	u	a	r	#	
í̵-ra-co-tai-de	ai	yes	a	i	t	d	
zí-fe-cai-fei-de	ai	yes	a	i	c	f	
zí-fe-cai-fei-de	ei	yes	e	i	f	d	
nɨ-mái-ra	ái	yes	á	i	m	r	
í̵-be-nai-cɨ-ngo	ai	yes	a	i	n	c	
táɨ-no-fue	áɨ	yes	á	ɨ	t	n	
táɨ-no-fue	ue	yes	u	e	f	#	
u-ái-fue-ri-fɨ-re-de	u-á	no	u	á	#	i	
u-ái-fue-ri-fɨ-re-de	ái	yes	á	i	u	f	
u-ái-fue-ri-fɨ-re-de	ue	yes	u	e	f	r	
nɨ-cáɨ-ri-te	áɨ	yes	á	ɨ	c	r	
a-fé-mɨ-e	ɨ-e	no	ɨ	e	m	#	
jɨ-ruí-re-de	uí	yes	u	í	r	r	
ji-mó-tɨ-i	ɨ-i	no	ɨ	i	t	#	
me-ái-rui-ñe-no	e-á	no	e	á	m	i	
me-ái-rui-ñe-no	ái	yes	á	i	e	r	
me-ái-rui-ñe-no	ui	yes	u	i	r	ñ	
za-dái-dɨ-mɨ-e	ái	yes	á	i	d	d	
za-dái-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
ú-lle-be-ai	e-a	no	e	a	b	i	
ú-lle-be-ai	ai	yes	a	i	e	#	
úi-tɨ-aɨ-cai-de	úi	yes	ú	i	#	t	
úi-tɨ-aɨ-cai-de	ɨ-a	no	ɨ	a	t	ɨ	
úi-tɨ-aɨ-cai-de	aɨ	yes	a	ɨ	ɨ	c	
úi-tɨ-aɨ-cai-de	ai	yes	a	i	c	d	
jaɨ-í-fɨ-re-de	aɨ	yes	a	ɨ	j	í	
jaɨ-í-fɨ-re-de	ɨ-í	no	ɨ	í	a	f	
nái-da-de	ái	yes	á	i	n	d	
rɨ-í-tai-de	ɨ-í	no	ɨ	í	r	t	
rɨ-í-tai-de	ai	yes	a	i	t	d	
úi-cai-be	úi	yes	ú	i	#	c	
úi-cai-be	ai	yes	a	i	c	b	
ú-i	ú-i	no	ú	i	#	#	
zá-fi-a-che-co	i-a	no	i	a	f	c	
cí̵-ne-doɨ-i-lle-ma	oɨ	yes	o	ɨ	d	i	
cí̵-ne-doɨ-i-lle-ma	ɨ-i	no	ɨ	i	o	l	
ca-cái-ñe-dɨ-mɨ-e	ái	yes	á	i	c	ñ	
ca-cái-ñe-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
tú-i-de	ú-i	no	ú	i	t	d	
cɨ-rí̵-no-ga-foɨ	oɨ	yes	o	ɨ	f	#	
cue-rá-da	ue	yes	u	e	c	r	
llo-é-tɨ-rɨ	o-é	no	o	é	l	t	
ju-zí-lloi-cɨ	oi	yes	o	i	l	c	
ró-lli-ño-gɨ-naɨ	aɨ	yes	a	ɨ	n	#	
já-cɨ-cai-de	ai	yes	a	i	c	d	
náa	áa	yes	á	a	n	#	
í-ño-ɨe	o-ɨ	no	o	ɨ	ñ	e	
í-ño-ɨe	ɨe	yes	ɨ	e	o	#	
ui-fí-cɨ	ui	yes	u	i	#	f	
fá-ñei-te	ei	yes	e	i	ñ	t	
mɨ-á-ngo	ɨ-á	no	ɨ	á	m	n	
i-dú-raɨ	aɨ	yes	a	ɨ	r	#	
jaɨ-nái-de	aɨ	yes	a	ɨ	j	n	
jaɨ-nái-de	ái	yes	á	i	n	d	
naɨ-mé-re-de	aɨ	yes	a	ɨ	n	m	
tú-i-lla-gɨ	ú-i	no	ú	i	t	l	
lláɨ-foi-dɨ-ma-cɨ	áɨ	yes	á	ɨ	l	f	
lláɨ-foi-dɨ-ma-cɨ	oi	yes	o	i	f	d	
cúa-ta-da	úa	yes	ú	a	c	t	
a-ruí-re	uí	yes	u	í	r	r	
me-ré-jai-ño	ai	yes	a	i	j	ñ	
ma-fí-i	í-i	no	í	i	f	#	
íe	íe	yes	í	e	#	#	
jó-zoɨ-do-cɨ	oɨ	yes	o	ɨ	z	d	
é-ɨ-ba	é-ɨ	no	é	ɨ	#	b	
fɨ-bí-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
ne-gáɨ-ca	áɨ	yes	á	ɨ	g	c	
ñaɨ-rí-lla	aɨ	yes	a	ɨ	ñ	r	
ní̵ɨ-ja-ma	í̵ɨ	yes	í̵	ɨ	n	j	
jaɨ-ró-nai-tɨ-mɨ-e	aɨ	yes	a	ɨ	j	r	
jaɨ-ró-nai-tɨ-mɨ-e	ai	yes	a	i	n	t	
jaɨ-ró-nai-tɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
llí̵-i-de	í̵-i	no	í̵	i	l	d	
llɨ-cuí-de	uí	yes	u	í	c	d	
ní̵-fue-na	ue	yes	u	e	f	n	
ɨ-í-chɨ-ngo	ɨ-í	no	ɨ	í	#	c	
í-rai	ai	yes	a	i	r	#	
jí̵-roɨ-de	oɨ	yes	o	ɨ	r	d	
cáa-cɨ	áa	yes	á	a	c	c	
fáɨ-lli-faɨ-lli-ña-de	áɨ	yes	á	ɨ	f	l	
fáɨ-lli-faɨ-lli-ña-de	aɨ	yes	a	ɨ	f	l	
faɨ-dái-ño	aɨ	yes	a	ɨ	f	d	
faɨ-dái-ño	ái	yes	á	i	d	ñ	
zí-o-ji	í-o	no	í	o	z	j	
mái-te	ái	yes	á	i	m	t	
e-nái-ze-ño	ái	yes	á	i	n	z	
re-í̵-ru-ngo	e-í̵	no	e	í̵	r	r	
fui-rí̵-fe-mo-na	ui	yes	u	i	f	r	
ñɨ-í-cɨ	ɨ-í	no	ɨ	í	ñ	c	
cú-io	ú-i	no	ú	i	c	o	
cú-io	io	yes	i	o	ú	#	
ráɨ-i-ra-bɨ-rɨ	áɨ	yes	á	ɨ	r	i	
ráɨ-i-ra-bɨ-rɨ	ɨ-i	no	ɨ	i	á	r	
úi-goi	úi	yes	ú	i	#	g	
úi-goi	oi	yes	o	i	g	#	
za-dái-de	ái	yes	á	i	d	d	
móo-nai-ta-di-ai-llɨ-noɨ	óo	yes	ó	o	m	n	
móo-nai-ta-di-ai-llɨ-noɨ	ai	yes	a	i	n	t	
móo-nai-ta-di-ai-llɨ-noɨ	i-a	no	i	a	d	i	
móo-nai-ta-di-ai-llɨ-noɨ	ai	yes	a	i	i	l	
móo-nai-ta-di-ai-llɨ-noɨ	oɨ	yes	o	ɨ	n	#	
cɨ-rí̵-gaɨ	aɨ	yes	a	ɨ	g	#	
jée-ze-ngo	ée	yes	é	e	j	z	
aɨ-má-tai-de	aɨ	yes	a	ɨ	#	m	
aɨ-má-tai-de	ai	yes	a	i	t	d	
faɨ-ái-de	aɨ	yes	a	ɨ	f	á	
faɨ-ái-de	ɨ-á	no	ɨ	á	a	i	
faɨ-ái-de	ái	yes	á	i	ɨ	d	
jáɨ-aɨ-re	áɨ	yes	á	ɨ	j	a	
jáɨ-aɨ-re	ɨ-a	no	ɨ	a	á	ɨ	
jáɨ-aɨ-re	aɨ	yes	a	ɨ	ɨ	r	
í-re-a	e-a	no	e	a	r	#	
jáɨ-te	áɨ	yes	á	ɨ	j	t	
ñú-e-to-fe	ú-e	no	ú	e	ñ	t	
éɨ-caɨ	éɨ	yes	é	ɨ	#	c	
éɨ-caɨ	aɨ	yes	a	ɨ	c	#	
bo-cái	ái	yes	á	i	c	#	
rúi-ca-fe-ne	úi	yes	ú	i	r	c	
ui-bái-da	ui	yes	u	i	#	b	
ui-bái-da	ái	yes	á	i	b	d	
tóo	óo	yes	ó	o	t	#	
cɨ-rí̵-cui-foɨ	ui	yes	u	i	c	f	
cɨ-rí̵-cui-foɨ	oɨ	yes	o	ɨ	f	#	
i-zí-a-ca	í-a	no	í	a	z	c	
fái-be-re-ma	ái	yes	á	i	f	b	
cú-raɨ-cɨ	aɨ	yes	a	ɨ	r	c	
na-í-bi-cai-de	a-í	no	a	í	n	b	
na-í-bi-cai-de	ai	yes	a	i	c	d	
no-nó-cue-ngo	ue	yes	u	e	c	n	
í-roi	oi	yes	o	i	r	#	
llo-llé-roɨ	oɨ	yes	o	ɨ	r	#	
té-re-cɨ-llaɨ	aɨ	yes	a	ɨ	l	#	
zíi-ño-de	íi	yes	í	i	z	ñ	
e-muí-to-bi-de	uí	yes	u	í	m	t	
